Слово,Значення,Приклад,Сфера вживання,Частина мови,Іншомовний відповідник,Літературний відповідник
Інлайнити,вставляти код (JS/CSS) прямо в HTML,Ми вирішили інлайнити стилі в HTML.,фронтенд,дієслово,to inline,вставити всередину
Інпут,поле для введення даних,Заповни інпут перед надсиланням.,фронтенд,іменник,input,поле вводу
Ітерація,повторення дій у циклі або процесі розробки,Ми зараз на третій ітерації розробки.,загальне,іменник,iteration,повторення
Аватарка,зображення користувача,Постав нову аватарку в профілі.,загальне,іменник,avatar,зображення профілю
Адаптив,"зовнішній вигляд сайту, який підлаштовується під різні розміри екранів (телефон, планшет, комп'ютер)",Сайт має хороший адаптив — все виглядає ідеально на мобілках.,фронтенд,іменник,adaptive,адаптивний інтерфейс
Аджайл,"спосіб організації роботи в команді, де все робиться поступово та з урахуванням відгуків",У нас команда працює за аджайлом.,загальне,іменник,agile,-
Айдішник,"унікальний номер або назва, яка допомагає знайти щось у системі",Прив’яжи айдішник користувача до нової сесії.,бекенд,іменник,ID,ідентифікатор
Альфа,"перша, ще «сирувата» версія програми, яку тестують розробники",Альфа ще не стабільна — буде багато багів.,бекенд,іменник,alpha version,попередня версія
Ангуляр,популярний фреймворк для фронтенду,Цей сайт зроблений на Ангулярі.,фронтенд,іменник,Angular,-
Апрув,схвалення змін або задачі,Без апрува тімліда не заливаємо.,загальне,іменник,approval,схвалення
Апрувнути,схвалити щось,Тімлід уже апрувнув мій пул-реквест.,загальне,дієслово,approve,схвалити
Апішка,"невидимий міст між різними частинами програми, який допомагає їм спілкуватися","Чекаю, поки апішка поверне відповідь.",бекенд,іменник,API,-
Асінк,асинхронне програмування,Асінк допомагає обробляти запити без блокування.,бекенд,іменник,async,-
Аутсорс,делегування роботи сторонній компанії,Цю частину проєкту віддали на аутсорс.,загальне,іменник,outsourcing,-
Баг,помилка в програмі,Знову якийсь баг у верстці.,QA,іменник,bug,помилка
Бандл,зібраний у єдиний файл JavaScript або CSS,Згенеруй бандл перед деплоєм.,фронтенд,іменник,bundle,-
Бандлер,інструмент для збирання бандлів,Ми використовуємо Webpack як бандлер.,фронтенд,іменник,bundler,-
Бахнути,швидко реалізувати щось,Я бахнув новий компонент за вечір.,бекенд,дієслово,-,-
Бекап,резервна копія даних,Зроби бекап перед оновленням системи.,DevOps,іменник,backup,резервна копія
Бекапити,створювати резервну копію,Я щодня бекаплю базу даних.,DevOps,дієслово,to backup,робити резервну копію
Бекенд,серверна частина додатку,У цьому проєкті я займаюсь тільки бекендом.,бекенд,іменник,back-end,-
Беклог,"список задач, що очікують виконання",В понеділок будемо розбирати беклог.,загальне,іменник,backlog,список задач
Бета,"тестова версія програми, доступна користувачам",Вийшла бета нового застосунку — можна тестити.,QA,іменник,beta version,тестова версія
Бот,"автоматизована програма, що імітує дії користувача",Цей бот відповідає на всі повідомлення в Telegram.,фронтенд,іменник,bot,автоматизована програма
Брейкпоінт,точка зупинки в коді або умовний розмір екрану для адаптиву,"Постав брейкпоінт і подивися, що відбувається.",фронтенд,іменник,breakpoint,-
Білд,зібрати проєкт у готову до запуску версію,Білд завершено успішно.,загальне,іменник,build,збирання проєкту
Валідація,перевірка даних перед відправкою чи обробкою,Без валідації форма не відправляється.,фронтенд,іменник,validation,перевірка
Вивід / лог,"результат роботи програми, зазвичай у консолі",Подивись вивід у консолі.,бекенд,іменник,output / log,вихідні дані
Викотити,зробити доступним нову версію продукту,Ми викотили новий реліз учора вночі.,DevOps,дієслово,to deploy,викласти (оновлення)
Випадашка,спадне меню,Зроби нормальну стилізацію випадашки.,фронтенд,іменник,dropdown menu,спадне меню
Вихідник,вихідні файли або код,"Залий вихідник у репозиторій, будь ласка.",загальне,іменник,source code,вихідний код
Ворнінг,попередження про потенційну помилку,"Після запуску програма показала ворнінг — значить, щось може піти не так.",QA,іменник,warning,попередження
Відкатити,"Скасувати зміни, повернутися до попередньої версії.",Якщо зломалось — можна відкатити.,загальне,дієслово,-,-
Галера,компанія з низькою зарплатнею та поганими умовами,Працював рік на галері — жахливий досвід.,загальне,іменник,-,-
Грумити,"підготовлювати й упорядковувати список задач, щоб усім було зрозуміло, що і коли робити",Ми щоп'ятниці грумимо таски на наступний спринт.,загальне,дієслово,to groom,-
Грід,"сітка (CSS Grid), метод верстки",Цей блок зроблений на гріді.,фронтенд,іменник,grid,-
Гіт,система контролю версій Git або GitHub,Залив зміни в гіт — дивись мій коміт.,бекенд,іменник,Git,-
ДРАЙ,принцип Don’t Repeat Yourself (не дублюй код),Тримайся принципу ДРАЙ — менше дубляжу.,бекенд,іменник,DRY,-
Движок,"система керування контентом (CMS), на основі якої працює сайт або застосунок",Цей сайт працює на вордпресовому движку.,бекенд,іменник,-,-
Дебажити,виправляти помилки в коді,Сиджу дебажу вже другу годину.,QA,дієслово,to debug,усувати помилки
Дезігнер,зневажлива назва дизайнера,Та ваш дезігнер знову кольори переплутав.,фронтенд,іменник,designer,дизайнер
Деплой,процес викладання нової версії,"Деплой сьогодні вночі, готуйтеся.",DevOps,іменник,deployment,-
Деплоїти,викладати нову версію,Можеш деплоїти після рев’ю.,DevOps,дієслово,to deploy,-
Джаваскриптер,неформально про JS-розробника,Я джаваскриптер — пишу тільки на JavaScript.,фронтенд,іменник,JavaScripter,-
Джиндекс,жартома: неправильне index.js,"Та ти що, знову джиндекс підключив?",фронтенд,іменник,-,-
Джун,початківець у розробці (Junior),У нас новий джун в команді — навчається швидко.,загальне,іменник,junior developer,молодший фахівець
Джуніор,початковий рівень розробника,"Я ще джуніор, але вже працюю над продом.",загальне,іменник,junior developer,молодший фахівець
Докеризувати,"обгорнути застосунок в докер (платформу для розробки, доставки та запуску контейнерних додатків)",Ми докеризували застосунок і тепер можемо запускати його будь-де без налаштувань.,DevOps,дієслово,-,-
Дом,структура HTML,"Зміни Дом, щоб відображення оновилось.",фронтенд,іменник,DOM,-
Дропдаун,спадне меню,У тебе зламався дропдаун у формі входу.,фронтенд,іменник,dropdown,спадне меню
Дропнути,видалити або скинути щось,Якщо таблиця більше не потрібна — просто дропни її.,бекенд,дієслово,to drop,видалити
Еліас,псевдонім для команди або імпорту,Пропиши еліас у конфігу.,бекенд,іменник,alias,псевдонім
Ендпоінт,точка доступу до API,Цей ендпоінт повертає всі продукти.,бекенд,іменник,endpoint,точка доступу
Жаба,іронічна назва мови програмування Java,Пишу вебапку на жабі.,бекенд,іменник,Java,-
Жабаскрипт,іронічна назва JavaScript,На цьому проєкті лише жабаскрипт.,фронтенд,іменник,JavaScript,-
Залити,завантажити щось на сервер,Залий зображення на S3.,DevOps,дієслово,to upload,завантажити
Запиляти,реалізувати щось,Я вже запиляв лендінг для клієнта.,фронтенд,дієслово,to build/implement,реалізувати
Зашаманити,"швидко щось «підрихтувати» в коді, без структури","Я зашаманю цей код, щоб хоч якось працювало.",бекенд,дієслово,-,підправити
Збагнути стек,"увійти в курс справи, зрозуміти систему","Потрібно трохи часу, щоб збагнути стек.",загальне,сполука,understand the stack,увійти в курс справ
Збілдити,зібрати проєкт у готову до запуску версію,Потрібно збілдити проєкт перед релізом.,загальне,дієслово,to build,збирання проєкту
Злетіло,щось перестало працювати,Сайт злетів — нічого не вантажиться.,загальне,іменник,-,-
Змія,іронічна назва мови програмування Python,Я почав писати на Змії.,бекенд,іменник,Python,-
Знести,видалити,Знеси стару версію проєкту перед оновленням.,загальне,дієслово,-,-
Клікати,"натискати мишею (кнопку, елемент)",Просто клікай по кнопці і все.,загальне,дієслово,to click,натискати
Клікер,"той, хто тестує без розуміння логіки (жартівливо про тестера)",Він просто клікер — тицяє все підряд.,QA,іменник,clicker,-
Кол,онлайн-дзвінок або відеоконференція,Зустрінемось на колі о третій.,загальне,іменник,call,дзвінок
Коміт,збереження змін у системі контролю версій,"Зроби коміт перед тим, як пушити.",бекенд,іменник,-,-
Комітити,зберігати зміни у репозиторії,Не забудь закомітити перед релізом.,бекенд,дієслово,-,-
Конфа,скорочено: конференція або зустріч,Після обіду буде конфа з дизайнерами.,загальне,іменник,conference,нарада
Копіпаста,повторно вставлений шматок коду,Це просто копіпаста — без змін.,загальне,іменник,copy-paste,скопійований фрагмент
Костиль,"тимчасове, обхідне рішення проблеми","Я поставив костиль, щоб воно працювало.",загальне,іменник,-,-
Краш,аварійне завершення роботи програми,Після оновлення стався краш.,загальне,іменник,crash,аварія
Кросбраузерність,однаковий вигляд сайту в різних браузерах,Ми тестували кросбраузерність на Safari та Firefox.,фронтенд,іменник,cross-browser compatibility,-
Легасі,"застарілий, але ще використовуваний код",Працюємо з легасі — страшний спадок.,бекенд,іменник,legacy,-
Лейаут,"макет, каркас сторінки",Дизайнер накидав лейаут нової сторінки.,дизайн,іменник,layout,макет
Лодаш,популярна JS-бібліотека,Ми використовуємо Лодаш для роботи з масивами.,фронтенд,іменник,Lodash,-
Локалка,локальний сервер або локальна мережа,Розгорнув усе на локалці для тестів.,DevOps,іменник,localhost,локальна система
Ліба,бібліотека з готовим кодом,Ця ліба дуже зручна для парсингу.,бекенд,іменник,library,бібліотека
Лінтер,програма для перевірки коду на помилки,Лінтер свариться через дужки.,загальне,іменник,linter,-
Ліст,структура даних типу список,Додай це у ліст параметрів.,бекенд,іменник,list,список
МП,мова програмування,Це популярна МП для навчання.,загальне,іменник,programming language,мова програмування
Манкі джоб,"нудна, рутинна, часто беззмістовна робота, яку ніхто не хоче виконувати.",Цю манкі джоб знову скинули джуну.,загальне,іменник,monkey job,-
Мапити,створювати відповідності між структурами,Потрібно мапити дані з API до локального формату.,бекенд,дієслово,to map,-
Меншнути,згадати когось у чаті,Не забудь меншнути дизайнера у коменті.,загальне,дієслово,to mention,згадувати
Мерджити,об’єднувати гілки коду,Перед релізом треба все змерджити.,бекенд,дієслово,to merge,об’єднувати
Мок / мокап,підставні дані або макет відповіді API,"Спочатку зробимо мокап, а тоді бекенд.",бекенд,іменник,mock / mockup,-
Мокати,створювати фейкові функції чи об’єкти,На тестах ми мокали всі запити.,бекенд,дієслово,to mock,імітувати
Мідл,розробник середнього рівня досвіду,Нам потрібен хоча б мідл на цей проєкт.,загальне,іменник,middle developer,розробник середнього рівня
Навбар,верхнє меню для навігації,Кнопку додали в навбар.,фронтенд,іменник,navigation bar,навігаційна панель
Накатити,встановити оновлення або зміни,Завтра накатимо нову версію.,DevOps,дієслово,-,-
Нативний,"той, що «свій» для середовища (наприклад, мобільний додаток без обгортки)","Це нативний додаток, не обгортка.",загальне,прикметник,native,вбудований
Нода,серверне середовище для JS,Бекенд написаний на Ноді.,бекенд,іменник,Node.js,-
ОС,"Операційна система, наприклад Windows або Linux.",Який в тебе ОС — Лінукс чи Вінда?,загальне,іменник,OS,операційна система
Оверінжиніринг,надмірно складна реалізація простого.,Це оверінжиніринг — можна було зробити набагато простіше.,загальне,іменник,overengineering,-
Опенсорс,проєкт з відкритим кодом,Це крутий опенсорс для аналітики.,загальне,іменник,open-source,-
Падаван,"Жартівливо про стажера, початківця в ІТ.",Новий падаван сьогодні вперше злив код у репу.,загальне,іменник,padawan,стажер
Пехапе,Мова програмування PHP.,Вони досі пишуть адмінку на Пехапе.,бекенд,іменник,PHP,-
Попливла верстка,Елементи сторінки відображаються неправильно.,Попливла верстка після оновлення стилів.,фронтенд,іменник,-,-
Продакшн,"Робоча версія сайту або застосунку, доступна для користувачів.",Ми вчора викотили продакшн.,бекенд,іменник,production,-
Проксі,проміжний сервер або JS-обгортка над об'єктом.,"Зміни проходять через проксі, щоб відстежити всі операції.",бекенд,іменник,proxy,-
Прототипувати,створювати швидкий варіант дизайну або функції.,Ми маємо прототипувати інтерфейс до кінця дня.,дизайн,дієслово,to prototype,створювати прототип
Пушити,Завантажувати код у репозиторій.,Я вже пушу зміни на GitHub.,бекенд,дієслово,to push,завантажувати
Підвал,Нижня частина сайту або сторінки.,У підвалі сайту є посилання на політику конфіденційності.,фронтенд,іменник,footer,нижня частина сайту
Пілот,Пілотна версія продукту — для тесту перед повним запуском.,"Ми показали клієнту пілот, щоб зібрати фідбек.",загальне,іменник,pilot,пробна версія
Пітон,Мова програмування Python.,Вони пишуть бекенд на Пітоні.,бекенд,іменник,Python,-
Рекурсія,"Процес, у якому функція викликає саму себе.",Обережно з рекурсією — можна зависнути.,загальне,іменник,recursion,рекурсія
Релокейшен,Переведення працівника в інше місто чи країну.,Йому запропонували релокацію до Берліна.,загальне,іменник,relocation,переїзд
Реліз,Офіційна публічна версія програми.,Реліз планується на понеділок.,загальне,іменник,release,випуск
Рендерити,виводити на екран або генерувати вміст.,Компонент рендериться двічі при оновленні.,фронтенд,дієслово,to render,виводити
Репа,Скорочено від «репозиторій» — сховище коду.,Я форкнув їхню репу.,бекенд,іменник,repository,сховище
Рефачити,"рефакторити, покращувати структуру коду без зміни логіки.",Треба рефачити цей клас — надто складний.,бекенд,дієслово,to refactor,переписувати код
Роут,маршрут у SPA-додатку або бекенді.,Цей роут відповідає за логін.,фронтенд,іменник,route,маршрут
Роутер,система маршрутизації сторінок.,Ми використовуємо React Router як роутер.,фронтенд,іменник,router,маршрутизатор
Рідмі,Файл з основною інформацією про проєкт.,Дивись у рідмі — там усе описано.,загальне,іменник,-,інструкція
Сабж,Тема розмови або листа.,По сабжу — будемо працювати з GraphQL.,загальне,іменник,subject,тема
Сайд-ефект,"побічний ефект, небажана дія в програмі.",Цей хук викликає сайд-ефект при оновленні.,фронтенд,іменник,side effect,-
Сваритися,Про повідомлення від лінтера про помилки в коді.,Лінтер свариться на назву змінної.,бекенд,іменник,-,виводити помилки
Світчнути,Переключити щось на інше.,Світчни гілку на develop.,бекенд,дієслово,to switch,перемкнути
Сеньйор,Досвідчений програміст.,У команді працює два сеньйори.,загальне,іменник,senior developer,старший розробник
Снекбар,невелике повідомлення в інтерфейсі (UI/UX).,Після збереження зʼявиться снекбар з підтвердженням.,фронтенд,іменник,snackbar,спливаюче повідомлення
Сорці / сорець,вихідні файли або код,Залий сорці в репозиторій.,бекенд,іменник,source,вихідні файли
Софт,програмне забезпечення,Це софт для обробки відео.,загальне,іменник,software,програма
Софт-скіли,м’які навички (комунікабельність тощо),У джунів часто слабкі софт-скіли.,загальне,іменник,soft skills,м’які навички
Спринт,короткий цикл виконання задач у Scrum,Ми закрили всі задачі цього спринту.,менеджмент,іменник,sprint,-
Стейджити,підготувати зміни до коміту (Git).,Я вже застейджив файли — можна комітити.,загальне,дієслово,to stage,-
Стек,набір технологій,"Наш стек: React, Node.js і MongoDB.",загальне,іменник,stack,-
Сітка,Структура для розташування елементів на сторінці.,Вся верстка побудована на сітці.,фронтенд,іменник,grid,-
Таска,задача,У мене сьогодні три таски.,загальне,іменник,task,завдання
Тачка,комп’ютер,Нова тачка тягне навіть Cyberpunk.,загальне,іменник,-,комп'ютер
Темплейт,шаблон,Використай темплейт для сторінки.,дизайн,іменник,template,шаблон
Тестувальник,фахівець з тестування,Тестувальник знайшов серйозний баг.,QA,іменник,-,тестувальник
Тост,"повідомлення в UI, що зникає саме по собі.",Зʼявиться тост з повідомленням про помилку.,фронтенд,іменник,toast,спливаюче повідомлення
Тімлід,керівник команди,Тімлід схвалив мій код.,менеджмент,іменник,team lead,керівник команди
Убити,видалити,Убий зайвий процес у системі.,загальне,дієслово,-,видалити
Фреймворк,"каркас, набір рішень",Ми пишемо цей сайт на фреймворку Vue.,фронтенд,іменник,framework,-
Фронтенд,клієнтська частина додатку,Я займаюся лише фронтендом.,фронтенд,іменник,front-end,-
Фулстек,"розробник, що вміє і фронтенд, і бекенд.",У нас в команді два фулстеки.,загальне,іменник,fullstack developer,-
Фідбек,зворотний зв’язок,Дякую за фідбек щодо дизайну.,загальне,іменник,feedback,відгук
Фіксити / пофіксити,"полагодити, виправити",Пофікси помилки перед релізом.,бекенд,дієслово,to fix,виправити
Фіча,функціонал,Ця фіча дозволяє редагувати текст.,фронтенд,іменник,feature,-
Хардкодити,жорстко вшивати значення в код,Не хардкоди паролі!,бекенд,дієслово,-,-
Хатемель,HTML,Верстаю просту сторінку на хатемелі.,фронтенд,іменник,HTML,-
Хацкер,"жартома про новачка, що вдає досвідченого",Той хацкер знову зламав щось у коді.,загальне,іменник,hacker (іронічно),-
Хедер,верхня частина сторінки,У хедері розмістили логотип і меню.,фронтенд,іменник,header,-
Хотфікс,термінове виправлення критичних помилок,Зробили хотфікс і швидко закрили баг.,бекенд,іменник,hotfix,-
ЦМС / Цеемес,система керування контентом,Ми працюємо з ЦМС WordPress.,фронтенд,іменник,CMS,система керування контентом
ЦСС / Цеесес,каскадні таблиці стилів,ЦСС відповідає за стилі на сторінці.,фронтенд,іменник,CSS,каскадна таблиця стилів
Чекати / прочекати,перевірити,"Чекни, чи воно нормально працює.",QA,дієслово,to check,перевіряти
Юзати,використовувати,Можна юзати цю бібліотеку для проєкту.,загальне,дієслово,to use,використовувати
Ява,Java,Цей сервіс написаний на Яві.,бекенд,іменник,Java,-
Яваскрипт,JavaScript,Яваскрипт керує логікою на клієнті.,фронтенд,іменник,JavaScript,-
